Websites _TCF,Websites_OT
msn.com,msn.com
nytimes.com,cisco.com
sourceforge.net,indeed.com
wired.com,opendns.com
speedtest.net,wired.com
ft.com,speedtest.net
aol.com,webex.com
quizlet.com,nvidia.com
bfmtv.com,quizlet.com
marketwatch.com,acronis.com
ilmessaggero.it,mparticle.com
patch.com,uisp.com
pagesix.com,patch.com
blick.ch,pagesix.com
sky.it,gazeta.pl
spiceworks.com,blick.ch
megaphone.fm,sketchup.com
,spiceworks.com
,postman.com
,brightspace.com
,newsday.com
,megaphone.fm